,,,,,,,,,,,
Herbicide,1x_Rate,p_value,Cultivar,Bio_Red,Lower,Upper,,,,,
clethodim,76.4,0.2803,CRS-1,16.56264,12.93365,20.19162,,,,,
chloransulam-methyl,35.3,0.0012,CRS-1,85.47246,81.82418,89.12074,,,,,
chlorimuron-ethyl,52.5,0.1145,CRS-1,85.8991,82.74195,89.05626,,,,,
imazethapry,70,0.1508,CRS-1,80.54871,75.92315,85.17427,,,,,
rimsulfuron,22,0,CRS-1,79.67302,73.92424,85.4218,,,,,
"2,4-D",800,0.0641,CRS-1,99.94022,99.71239,100.168,,,,,
clopyralid,158,0.0555,CRS-1,21.54432,16.43753,26.6511,,,,,
dicamba,560,0.2246,CRS-1,86.48819,82.3079,90.66848,,,,,
atrazine,1680,0.4716,CRS-1,"98.52456	",96.44918,100.5999,,,,,
bentazon,1120,0.8947,CRS-1,99.07382,97.48462,100.663,,,,,
glufosinate,656,0.1148,CRS-1,99.91851,99.61822,100.2188,,,,,
fluthiacet-methyl,7.2,0.5802,CRS-1,85.49075,80.86538,90.11612,,,,,
fomesafen,263,0.0011,CRS-1,86.9745,80.64166,93.30734,,,,,
lactofen,220,0.0042,CRS-1,85.93429,80.69605,91.17253,,,,,
isoxaflutole,79,0.0005,CRS-1,95.3587,92.50173,98.21568,,,,,
mesotrione,105,0.516,CRS-1,99.01205,97.63425,"100.3898	",,,,,
tembotrione,92,0.001,CRS-1,97.62018,95.29898,99.94139,,,,,
clethodim,76.4,0.2803,X-59,16.56264,12.93365,20.19162,,,,,
chloransulam-methyl,35.3,0.0012,X-59,90.79213,87.58479,93.99946,,,,,
chlorimuron-ethyl,52.5,0.1145,X-59,85.8991,82.74195,89.05626,,,,,
imazethapry,70,0.1508,X-59,80.54871,75.92315,85.17427,,,,,
rimsulfuron,22,0,X-59,93.11967,86.50064,99.73869,,,,,
"2,4-D",800,0.0641,X-59,99.94022,99.71239,100.168,,,,,
clopyralid,158,0.0555,X-59,21.54432,16.43753,26.6511,,,,,
dicamba,560,0.2246,X-59,86.48819,82.3079,90.66848,,,,,
atrazine,1680,0.4716,X-59,98.52456,96.44918,100.5999,,,,,
bentazon,1120,0.8947,X-59,99.07382,97.48462,100.663,,,,,
glufosinate,656,0.1148,X-59,99.91851,99.61822,100.2188,,,,,
fluthiacet-methyl,7.2,0.5802,X-59,85.49075,80.86538,90.11612,,,,,
fomesafen,263,0.0011,X-59,93.58819,87.78882,99.38756,,,,,
lactofen,220,0.0042,X-59,84.34291,78.62947,90.05635,,,,,
isoxaflutole,79,0.0005,X-59,99.85524,99.12712,100.5834,,,,,
mesotrione,105,0.516,X-59,99.01205,97.63425,100.3898,,,,,
tembotrione,92,0.001,X-59,99.25849,97.27608,101.2409,,,,,
Footnotes,,,,,,,,,,,